question;tag
Wenn du nur ein Gericht für den Rest deines Lebens essen könntest, welches wäre es?;
Was war das Mutigste, das du je getan hast?;
Mit welchem Prominenten würdest du gerne mal zu Aben dessen?;
Was ist das Beste, was in deinem Leben in letzter Zeit passiert ist?;
Wen rufst du als Erstes an, wenn dir etwas Gutes oder Schlechtes widerfährt?;
Hast du als Kind Sport getrieben?;
Glaubst du an Karma?;
Hattest du schonmal ein Déjà-vu?;
Was ist die schlimmste Eigenschaft, die ein Mensch haben kann?;
Wofür würdest du gerne in Erinnerung bleiben?;
Glaubst du an Sternzeichen?;
Was ist eine Sache, die absolut unverzeihlich ist?;
Wo siehst du dich in 10 Jahren?;
Welche Superkräfte hättest du gerne?;
Zu welchen Themen fragen dich die Leute normalerweise um Rat?;
Wie viele deiner Facebook-Freunde sind tatsächlich deine Freunde?;
Über welches Thema würdest du gerne mehr wissen?;
Was war dein Lieblingsalter?;
Was ist deine liebste „Gute Nacht“-Geschichte?;
Worüber sind die meisten Menschen überrascht, wenn sie etwas über dich erfahren?;
Glaubst du an Schicksal?;
Bist du abergläubisch?;
Was wäre dein Traumberuf?;
Was ist dein Lieblingsakzent?;
Welche Sprache würdest du gerne fließend sprechen?;
Was ist das Netteste, das jemand zu dir gesagt hat?;
Was war bisher das schönsten Geschenk, das du bekommen hast?;
Bist du ein extrovertierter oder introvertierter Mensch?;
Welche Wohltätigkeitsorganisationen liegen dir besonders am Herzen?;
Welchen negativen Eigenschaften möchtest du unbedingt ändern?;
Wie gehst du damit um, wenn du dich überfordert fühlst?;
Was bedauerst du im Leben am meisten?;
Hast du schon mal eine Freundschaft beendet?;
Was war der schönste Tag deines Lebens?;
Woran würdest du dich gerne besser erinnern?;
Was war der schlimmste Tag in deinem Leben?;
In welcher Hinsicht bist du stärker als du aussiehst?;
Was ist dein größtes Ziel für dieses Jahr?;
Was ist etwas, was für dich nie aus der Mode kommen wird?;
Worüber hast du dich geärgert, aber im Nachhinein ist dir klar geworden, dass es gar nicht so schlimm war?;
Magst du lieber Kaffee oder Tee?;
Was ist das Beste, das dir dieses Jahr passiert ist?;
Was ist die größte Überraschung, die du je erlebt hast?;
Backst du lieber oder kochst du lieber?;
Wenn Geld keine Rolle spielen würde, was würdest du machen?;
Was ist das Teuerste, das du je gekauft hast?;
Welches Land würdest du gerne mal besuchen?;
Welches Land möchtest du auf keinen Fall besuchen?;
Ohne welche Dinge kannst du nicht leben?;
Was war dein erster Job?;
Bei welcher Art Filme schaltest du nie um?;
Was war deine größte Angst in der Kindheit?;
Was ist im Moment deine größte Sucht?;
Bei wem holst du dir immer zuerst einen Rat?;
Was ist eine Sache, für die du niemals Geld ausgeben würdest?;
Was tust du am liebsten an einem faulen Sonntag?;
Was ist deine beste Charaktereigenschaft?;
Was ist dein schlechtester Charakterzug?;
Für welche Sache setzt du dich leidenschaftlich ein?;
Was war deine härteste körperliche Herausforderung?;
Was war deine schwierigste mentale Herausforderung?;
Wie würden deine engsten Freunde dich in drei Wörtern beschreiben?;
Was war das Beste an deiner Kindheit?;
Was möchtest du in deinem Leben unbedingt erreichen?;
Was ist das Beste an deinem Leben?;
Hattest du in deiner Kindheit ein Vorbild?;
Was ist das Traurigste, das du je gesehen hast?;
Welcher Akzent nervt dich am meisten?;
Welches ist das erste Konzert, das du besucht hast?;
Was ist/war dein bestes Fach in der Schule?;
Was ist/war dein schlechtestes Fach in der Schule?;
Bist du ein Drinnen- oder Draußenmensch?;
In welchem Spiel bist du unschlagbar?;
Was ist das Aufregendste, was gerade in deinem Leben passiert?;
Was ist im Moment das Schwierigste in deinem Leben?;
Sparst du lieber Geld für die Zukunft oder gibst du es aus und genießt die Gegenwart?;
Hast du Angst vor dem Älterwerden?;
Worüber sind die Leute immer wieder überrascht, wenn sie das über dich erfahren?;
Was ist eine wichtige Lebenslektion, die jeder lernen sollte?;
Was sollte ein Pflichtfach in der Schule sein?;
Wenn du ein Jahr deines Lebens noch einmal erleben könntest, welches wäre es?;
Was ist etwas, von dem du froh bist, dass du es nie wieder tun musst?;
Was war das schrecklichste Erlebnis deines Lebens?;
Wie stellst du dir deinen perfekten Urlaub vor? Action oder Entspannung?;
Was war der größte Ärger, den du je bekommen hast?;
Wovor hast du keine Angst?;
Was ist dein Musikgeschmack?;
Wann hast du das letzte Mal bis zum Mittag geschlafen?;
Wann hast du das letzte Mal die Nacht durchgemacht?;
Wann hast du dich das letzte Mal richtig blamiert?;
Wie verbringst du am liebsten deine Zeit?;
Welche Aufgaben schiebst du immer vor dir her?;
Hast du einen Lieblingsfilm, den du richtig oft gesehen hast?;
Welches Lied kannst du auswendig?;
Welchem Social-Media-Account folgst du am liebsten?;
Wenn du eine magische Kraft haben könntest, welche wäre das?;
Glaubst du an Gespenster?;
Wer war in deiner Kindheit dein größter Promi-Schwarm?;
Welchen Sport würdest du gerne einmal professionell ausüben?;
Wo hängst du am liebsten ab?;
Hast du irgendwelche irrationalen Ängste?;
Was lässt dich am lebendigsten fühlen?;
Welches Alter würdest du gerne erreichen?;
Wie oft machst du jeden Tag Instagram / TikTok auf?;
Wovon könntest du immer mehr gebrauchen?;
Wenn du ein ganzes Jahr lang alles tun könntest, was du willst, was würdest du tun?;
Was ist eine schlechte Angewohnheit, die wir alle besser loswerden sollten?;
Was ist die häufigste Lüge, die sich Menschen einreden?;
Bei welchen Aktivitäten fühlst du dich am meisten wie du selbst?;
Welches Album könntest du dir für den Rest deines Lebens anhören?;
Wenn du ein beliebiges Tier als Haustier haben könntest, welches würdest du wählen?;
Welche besondere Fähigkeit würdest du gerne haben?;
Welchen Film sollte jeder mindestens einmal gesehen haben?;
In welchen Laden kannst du nicht gehen, ohne etwas zu kaufen?;
Welche Dinge sind immer in deinem Kühlschrank?;
Hattest / hast du ein Haustier? Wie hieß / heißt es?;
Was ist dein Radiosender, den du am liebsten hörst?;
Mit welchem Prominenten würdest du im echten Leben befreundet sein wollen?;
Worüber machst du dir am meisten Sorgen?;
Zu welchem Familienmitglied hast du die beste Beziehung?;
Worüber musstest du in deinem Leben am meisten lachen?;
Bei welchem Lied musst du immer mitsingen?;
Hat jemand schon einmal eine Überraschungsparty für dich organisiert?;
Wurdest du schon einmal bei einer Lüge ertappt?;
Welches ist dein Lieblings-Karaoke-Lied?;
Was ist dein liebster Feiertag?;
Welcher ist der nervigste Feiertag?;
Ohne welche Dinge kannst du nicht leben?;
Was ist dein Lieblingssport?;
Was ist dein Lieblingscocktail?;
Was wäre deine letzte Mahlzeit?;
Was ist deine liebste Serie aller Zeiten?;
Welches ist dein absoluter Lieblingsfilm?;
Was ist das Mutigste, was du je getan hast?;
Was ist das Dümmste, was du je getan hast?;
Was ist das Beste am Internet?;
Was ist das Schlimmste am Internet?;
Wem sollte jeder in den sozialen Medien folgen?;
Hast du einen Lieblingsort?;
Wer ist dein Lieblings-Comedian?;
Wenn du eine Superkraft haben könntest, welche wäre das?;
Welchen Rat würdest du deinem 10 Jahre jüngeren Ich geben?;
Was ist dir als Erstes an mir aufgefallen und dir nicht mehr aus dem Kopf gegangen?;
Was ist der beste Rat, den du deinen zukünftigen Kindern geben könntest?;
Was war das beste Konzert, das du je besucht hast?;
Was ist dein Lieblingsurlaubsort?;
Wenn du ein beliebiges Fach in der Schule unterrichten könntest, welches wäre es?;
Welches ist das Lied, das dich immer zum Tanzen bringt?;
Welches ist das eine Wort, das du zu oft benutzt?;
Wenn du mit jemandem ein Duett singen könntest, wer wäre es?;
Was ist das beste Geschenk, das du je bekommen hast?;
Siehst du dir Filme lieber im Kino oder auf der Couch zu Hause an?;
Wenn dein Leben eine Reality-Show wäre, was wäre die Prämisse?;
Was ist dein Lieblingssnack zu einem guten Film?;
Was ist das ungewöhnlichste, was du bisher gegessen hast?;
An welcher Farbe kannst du dich einfach nicht sattsehen?;
Warst du schon einmal auf einem Festival?;
Welches ist ein nutzloses Thema, in dem du dich ausgezeichnet auskennst?;
Wie stellst du dir dein Leben als Rentner vor?;
Welche Eissorte beschreibt dich am besten?;
Welcher gängige Ausdruck ist totaler Blödsinn?;
Welches ist der ekelhafteste Geruch?;
Magst du gerne Brettspiele, wenn ja, welches?;
Bist du ein Sommer- oder ein Wintermensch?;
Auf welche Süßigkeit könntest du niemals verzichten?;
Bei welchem Film musstest du vor Lachen weinen?;
Bei welchem Film musstest du vor Traurigkeit weinen?;
Wenn du dir einen neuen Vornamen geben könntest, wie würde er lauten?;
Was ist deine Lieblings-App?;
Welches ist dein liebstes Gewürz?;
Was ist der schlimmste Modetrend aller Zeiten?;
Welches Buch hast du am häufigsten gelesen?;
Würdest du lieber 100 Jahre in die Vergangenheit oder 100 Jahre in die Zukunft reisen?;
Was nimmst du immer mit auf Reisen?;
Schläfst du auf dem Bauch, Rücken oder auf der Seite und hast du ein Kuscheltier im Bett?;
Welcher Schauspieler würde dich in einem Film spielen?;
Welches ist das schönste Tier im Tierreich?;
Welche App öffnest du am häufigsten?;
Was ist das größte Glück, das dir je widerfahren ist?;
Was ist das Unglücklichste, das dir je passiert ist?;
Welchen ausländischen Akzent kannst du besonders gut nachmachen?;
Was ist das letzte Buch, das du nicht zu Ende gelesen hast?;
Was ist die erste App, die du morgens öffnest?;
Wenn du einen Blog hättest, worüber würdest du schreiben?;
Welche Sprache würdest du gerne fließend sprechen?;
Welchen Food-Trend hasst du?;
Wer war dein Kindheitsschwarm?;
Wie lautet dein Gamer-Name?;
Welches ist dein meistgenutztes Emoji?;
Glaubst du an Verschwörungstheorien?;
Was ist das Seltsamste, das ein Gast in deinem Haus getan hat?;
Was hättest du gerne erfunden?;
Was war die verrückteste Frisur, die du je hattest? (Und würdest du dich jetzt dafür schämen?;)
Als welches Tier würdest du in deinem nächsten Leben wiedergeboren werden?;
Du darfst nur ein Bild zu Hause aufhängen, welches wäre es?;
Liest du gerne? Falls ja, was war das letzte Buch, welches du gelesen hast?;
Hast du ein Motto? Falls ja, wie lautet dieses Motto?;
Wer ist die klügste Person, die du persönlich kennst?;
Mit welcher Person würdest du dich gerne unterhalten – egal, ob fiktiv oder real, lebendig oder nicht?;
